paper_id,total_valid_chars,proof_chars,proof_density,display_chars,display_density
JRSSB_2025_1724,251516,15848,0.063,62430,0.2482
JRSSB_2025_1725,217049,59259,0.273,53762,0.2477
JRSSB_2025_1727,269828,60175,0.223,39870,0.1478
JRSSB_2025_1730,144314,17240,0.1195,35480,0.2459
JRSSB_2025_1732,110267,3541,0.0321,12056,0.1093
JRSSB_2025_1733,96609,5615,0.0581,10116,0.1047
JRSSB_2025_1734,188313,14124,0.075,84293,0.4476
JRSSB_2025_1736,73466,2610,0.0355,16513,0.2248
JRSSB_2025_1738,296323,136942,0.4621,102595,0.3462
JRSSB_2025_1739,157958,7216,0.0457,30758,0.1947
JRSSB_2025_1740,193615,27741,0.1433,15008,0.0775
JRSSB_2025_1741,263530,99988,0.3794,40633,0.1542
JRSSB_2025_1744,201636,94163,0.467,73471,0.3644
JRSSB_2025_1745,211972,25463,0.1201,34689,0.1636
JRSSB_2025_1746,73397,1863,0.0254,5329,0.0726
JRSSB_2025_1747,284493,62315,0.219,54638,0.1921
JRSSB_2025_1749,178880,57362,0.3207,32159,0.1798
JRSSB_2025_1751,101800,8989,0.0883,12469,0.1225
JRSSB_2025_1752,426643,258347,0.6055,127740,0.2994
JRSSB_2025_1755,295475,108821,0.3683,84817,0.2871
JRSSB_2025_1756,223426,47671,0.2134,35454,0.1587
JRSSB_2025_1757,139516,42318,0.3033,23038,0.1651
JRSSB_2025_1770,305141,160110,0.5247,127884,0.4191
JRSSB_2025_1784,206023,51646,0.2507,32418,0.1574
JRSSB_2026_1444,209546,63390,0.3025,49643,0.2369
JRSSB_2026_1508,132476,5653,0.0427,15321,0.1157
JRSSB_2026_1527,180677,16635,0.0921,10749,0.0595
JRSSB_2026_1546,337659,8545,0.0253,147213,0.436
JRSSB_2026_1674,155438,69138,0.4448,45099,0.2901
JRSSB_2026_1710,224282,68610,0.3059,40363,0.18
JRSSB_2026_1718,201692,56934,0.2823,47766,0.2368
JRSSB_2026_1804,219025,71683,0.3273,97671,0.4459
JRSSB_2026_1806,94980,3014,0.0317,11218,0.1181
JRSSB_2026_1808,277485,14139,0.051,69442,0.2503
JRSSB_2026_1809,113562,26689,0.235,17685,0.1557
JRSSB_2026_1810,116140,18114,0.156,14942,0.1287
JRSSB_2026_1811,209546,63390,0.3025,49643,0.2369
JRSSB_2026_1812,151463,65843,0.4347,53230,0.3514
JRSSB_2026_1813,411661,23334,0.0567,170402,0.4139
JRSSB_2026_1815,238464,124271,0.5211,114285,0.4793
JRSSB_2026_1816,82961,3628,0.0437,5767,0.0695
