paper_id,total_valid_chars,exact_math_chars,exact_math_density,broad_math_chars,broad_math_density
AOS_2024_0079,347288,123493,0.3556,147471,0.4246
AOS_2024_0080,390884,95225,0.2436,209614,0.5363
AOS_2024_0081,353696,53075,0.1501,207055,0.5854
AOS_2024_0086,74514,10932,0.1467,18822,0.2526
AOS_2024_0087,292285,115317,0.3945,213340,0.7299
AOS_2024_0088,209618,63037,0.3007,93306,0.4451
AOS_2024_0090,141012,26156,0.1855,59122,0.4193
AOS_2024_0094,326479,135461,0.4149,87491,0.268
AOS_2024_0096,313215,198320,0.6332,206768,0.6601
AOS_2024_0097,375560,225333,0.6,194019,0.5166
AOS_2024_0099,197870,64248,0.3247,82361,0.4162
AOS_2024_0100,349962,177434,0.507,122880,0.3511
AOS_2024_0101,325641,135535,0.4162,136711,0.4198
AOS_2024_0102,231630,16954,0.0732,91105,0.3933
AOS_2024_0103,231028,127291,0.551,96007,0.4156
AOS_2024_0113,109989,0,0,51562,0.4688
AOS_2024_0136,151956,59343,0.3905,59988,0.3948
AOS_2024_0137,393080,114975,0.2925,177810,0.4524
AOS_2024_0138,223313,116735,0.5227,173769,0.7781
AOS_2024_0140,234368,35856,0.153,67160,0.2866
AOS_2024_0141,359462,110956,0.3087,283895,0.7898
AOS_2024_0142,215776,40648,0.1884,107501,0.4982
AOS_2024_0144,323939,143262,0.4422,126791,0.3914
AOS_2024_0145,184271,77424,0.4202,83564,0.4535
AOS_2024_0146,106127,55593,0.5238,38543,0.3632
AOS_2024_0147,280440,51490,0.1836,129923,0.4633
AOS_2024_0155,379896,133606,0.3517,265018,0.6976
AOS_2024_0156,202417,77747,0.3841,66488,0.3285
AOS_2024_0159,415360,103154,0.2483,126850,0.3054
AOS_2024_0164,282788,30011,0.1061,169075,0.5979
AOS_2024_0165,190374,58201,0.3057,79890,0.4196
AOS_2024_0166,133347,4563,0.0342,50122,0.3759
AOS_2024_0172,235618,105180,0.4464,35313,0.1499
AOS_2024_0187,237856,89989,0.3783,93964,0.395
AOS_2024_0190,101810,36802,0.3615,36447,0.358
AOS_2024_0191,324131,201040,0.6202,196749,0.607
AOS_2024_0198,232788,71789,0.3084,177876,0.7641
AOS_2024_0199,235726,6040,0.0256,86282,0.366
AOS_2024_0200,211019,73943,0.3504,46993,0.2227
AOS_2024_0204,150474,18047,0.1199,83473,0.5547
AOS_2024_0205,582428,116668,0.2003,301108,0.517
AOS_2024_0206,115298,13216,0.1146,43578,0.378
AOS_2024_0207,322267,145834,0.4525,113640,0.3526
AOS_2024_0211,137385,24277,0.1767,30902,0.2249
AOS_2024_0212,143532,9801,0.0683,49844,0.3473
AOS_2024_0214,354749,198172,0.5586,262124,0.7389
AOS_2024_0219,501458,179229,0.3574,322959,0.644
AOS_2024_0224,207327,84411,0.4071,115248,0.5559
AOS_2024_0225,266301,109641,0.4117,132338,0.4969
AOS_2024_0226,206563,12047,0.0583,74005,0.3583
AOS_2024_0232,256363,142903,0.5574,79397,0.3097
AOS_2024_0233,72923,7959,0.1091,16593,0.2275
AOS_2024_0235,146117,4291,0.0294,32129,0.2199
AOS_2024_0254,321384,115751,0.3602,213051,0.6629
AOS_2024_0255,294485,110428,0.375,240983,0.8183
AOS_2024_0259,222321,51640,0.2323,62761,0.2823
AOS_2024_0267,569755,354245,0.6217,358370,0.629
AOS_2024_0268,81465,4903,0.0602,20773,0.255
AOS_2024_0271,1346105,869778,0.6461,690376,0.5129
AOS_2024_0272,120642,34577,0.2866,40560,0.3362
AOS_2024_0273,261313,121519,0.465,102901,0.3938
AOS_2024_0274,258355,16614,0.0643,79252,0.3068
AOS_2025_0012,282822,76410,0.2702,83230,0.2943
AOS_2025_0052,424190,79523,0.1875,216140,0.5095
AOS_2025_0059,97065,36735,0.3785,29212,0.301
AOS_2025_0060,114373,36546,0.3195,40015,0.3499
AOS_2025_0061,231988,3543,0.0153,78142,0.3368
AOS_2025_0082,555012,225736,0.4067,371061,0.6686
AOS_2025_0092,722403,946,0.0013,333983,0.4623
AOS_2025_0105,288092,18993,0.0659,158813,0.5513
AOS_2025_0106,477394,123982,0.2597,281080,0.5888
AOS_2025_0107,232129,68220,0.2939,77608,0.3343
AOS_2025_0108,109773,0,0,32497,0.296
AOS_2025_0109,176658,14536,0.0823,45380,0.2569
AOS_2025_0110,253598,95838,0.3779,133766,0.5275
AOS_2025_0111,99922,24062,0.2408,32955,0.3298
AOS_2025_0115,214125,107805,0.5035,89962,0.4201
AOS_2025_0116,447594,35154,0.0785,280756,0.6273
AOS_2025_0117,194178,63128,0.3251,136900,0.705
AOS_2025_0119,219913,47928,0.2179,65607,0.2983
AOS_2025_0120,123788,6246,0.0505,49644,0.401
AOS_2025_0121,166004,72635,0.4375,63823,0.3845
AOS_2025_0122,224440,11258,0.0502,100792,0.4491
AOS_2025_0123,430886,285148,0.6618,283292,0.6575
AOS_2025_0124,243775,97517,0.4,113763,0.4667
AOS_2025_0148,80902,13584,0.1679,28654,0.3542
AOS_2025_0157,395763,59820,0.1512,130640,0.3301
AOS_2025_0158,523014,167225,0.3197,135483,0.259
AOS_2025_0167,153505,3455,0.0225,128992,0.8403
AOS_2025_0169,170420,47066,0.2762,69796,0.4096
AOS_2025_0170,168162,79723,0.4741,79342,0.4718
AOS_2025_0171,211895,74830,0.3531,75080,0.3543
AOS_2025_0173,267812,141307,0.5276,120248,0.449
AOS_2025_0193,193224,60890,0.3151,62726,0.3246
AOS_2025_0194,129012,9740,0.0755,82197,0.6371
AOS_2025_0215,118747,5202,0.0438,26618,0.2242
AOS_2025_0230,296723,105884,0.3568,126027,0.4247
AOS_2025_0238,208227,4133,0.0198,53360,0.2563
AOS_2025_0239,297084,127616,0.4296,113962,0.3836
AOS_2025_0241,278097,5067,0.0182,154447,0.5554
AOS_2025_0242,478235,43983,0.092,356025,0.7445
AOS_2025_0243,121599,29670,0.244,35292,0.2902
AOS_2025_0244,178281,60405,0.3388,103796,0.5822
AOS_2025_0245,213000,23244,0.1091,93926,0.441
AOS_2025_0246,468384,87096,0.1859,222074,0.4741
AOS_2025_0257,234413,103350,0.4409,130940,0.5586
AOS_2025_0265,278295,146021,0.5247,128968,0.4634
AOS_2025_0276,163605,24394,0.1491,45217,0.2764
AOS_2025_0277,174118,50336,0.2891,47459,0.2726
AOS_2025_0278,106499,32335,0.3036,27254,0.2559
AOS_2025_0284,176241,47155,0.2676,81320,0.4614
AOS_2025_0285,113901,12412,0.109,16243,0.1426
AOS_2025_0287,340736,205256,0.6024,160721,0.4717
AOS_2025_0288,192822,14418,0.0748,49754,0.258
AOS_2025_0289,384281,207362,0.5396,207754,0.5406
AOS_2025_0290,282026,135118,0.4791,245102,0.8691
AOS_2025_0291,132527,6273,0.0473,31229,0.2356
AOS_2025_0292,179724,61369,0.3415,71340,0.3969
AOS_2025_0293,131662,24569,0.1866,44954,0.3414
AOS_2025_0295,191066,82038,0.4294,61463,0.3217
AOS_2025_0297,122427,22721,0.1856,32474,0.2653
AOS_2025_0298,145491,63568,0.4369,39307,0.2702
AOS_2025_0299,174828,71602,0.4096,72882,0.4169
AOS_2025_0300,210949,91022,0.4315,82717,0.3921
AOS_2025_0303,281504,85719,0.3045,123125,0.4374
AOS_2025_0304,308099,25034,0.0813,149107,0.484
AOS_2025_0305,286792,19747,0.0689,84819,0.2958
AOS_2026_0217,339823,21690,0.0638,272818,0.8028
AOS_2026_0228,190206,117921,0.62,112744,0.5927
AOS_2026_0234,309823,202730,0.6543,123090,0.3973
AOS_2026_0252,181034,22803,0.126,107380,0.5931
AOS_2026_0258,321853,128093,0.398,105059,0.3264
AOS_2026_0306,248983,49135,0.1973,82012,0.3294
AOS_2026_0309,118232,24471,0.207,23139,0.1957
AOS_2026_0310,177804,41520,0.2335,83124,0.4675
AOS_2026_0311,168510,46238,0.2744,132880,0.7886
AOS_2026_0315,321542,134476,0.4182,117453,0.3653
AOS_2026_0316,249502,129089,0.5174,105195,0.4216
AOS_2026_0317,288273,108093,0.375,146720,0.509
AOS_2026_0318,309823,202730,0.6543,123090,0.3973
AOS_2026_0320,181034,22803,0.126,107380,0.5931
AOS_2026_0321,380185,194385,0.5113,182701,0.4806
AOS_2026_0322,306925,100632,0.3279,142062,0.4629
AOS_2026_0323,316674,156478,0.4941,146685,0.4632
AOS_2026_0324,196684,16176,0.0822,75276,0.3827
AOS_2026_0325,361886,145460,0.4019,252184,0.6969
AOS_2026_0326,270200,120967,0.4477,160873,0.5954
AOS_2026_0328,207335,8110,0.0391,88441,0.4266
AOS_2026_0329,246165,122536,0.4978,213220,0.8662
AOS_2026_0331,326955,89046,0.2723,168080,0.5141
AOS_2026_0333,188005,49531,0.2635,86163,0.4583
AOS_2026_0334,283356,90652,0.3199,115183,0.4065
AOS_2026_0336,339876,52293,0.1539,138883,0.4086
AOS_2026_0337,342318,146374,0.4276,172886,0.505
AOS_2026_0338,367370,181492,0.494,165912,0.4516
AOS_2026_0339,100296,34320,0.3422,37757,0.3765
AOS_2026_0340,106037,8028,0.0757,25239,0.238
AOS_2026_0341,108457,11059,0.102,33203,0.3061
AOS_2026_0342,145213,55041,0.379,105487,0.7264
BIO_2023_0347,272559,75830,0.2782,76147,0.2794
BIO_2023_0348,159203,14879,0.0935,23507,0.1477
BIO_2023_0350,178436,53632,0.3006,76269,0.4274
BIO_2023_0354,264052,24884,0.0942,148940,0.5641
BIO_2023_0359,106096,19439,0.1832,30010,0.2829
BIO_2023_0360,152513,1737,0.0114,70360,0.4613
BIO_2023_0361,118136,1538,0.013,32078,0.2715
BIO_2023_0363,155399,37269,0.2398,51755,0.333
BIO_2023_0366,105796,4612,0.0436,33044,0.3123
BIO_2023_0367,167202,72554,0.4339,70467,0.4214
BIO_2023_0377,215716,5180,0.024,74536,0.3455
BIO_2023_0379,170410,37998,0.223,123073,0.7222
BIO_2023_0506,37530,3495,0.0931,12552,0.3345
BIO_2023_0507,114966,35035,0.3047,86753,0.7546
BIO_2023_0516,119440,31565,0.2643,25782,0.2159
BIO_2023_0519,89523,22576,0.2522,23420,0.2616
BIO_2024_0349,57686,2064,0.0358,12134,0.2103
BIO_2024_0355,118011,31046,0.2631,27867,0.2361
BIO_2024_0356,113972,26978,0.2367,46953,0.412
BIO_2024_0357,330150,68993,0.209,87545,0.2652
BIO_2024_0365,145946,54210,0.3714,15459,0.1059
BIO_2024_0370,126385,14935,0.1182,51341,0.4062
BIO_2024_0371,80758,4529,0.0561,9124,0.113
BIO_2024_0372,381072,153214,0.4021,145936,0.383
BIO_2024_0373,92877,7113,0.0766,19269,0.2075
BIO_2024_0415,112462,28175,0.2505,76813,0.683
BIO_2024_0526,113397,35714,0.3149,53926,0.4756
BIO_2024_0528,63061,0,0,44871,0.7115
BIO_2024_0531,221694,77596,0.35,146937,0.6628
BIO_2024_0533,262033,67064,0.2559,114720,0.4378
BIO_2024_0536,368684,44091,0.1196,108756,0.295
BIO_2024_0537,201810,29108,0.1442,71192,0.3528
BIO_2024_0538,92708,43506,0.4693,41519,0.4478
BIO_2025_0449,61728,3605,0.0584,13914,0.2254
BIO_2025_0501,198461,94985,0.4786,94602,0.4767
BIO_2025_0502,34728,1186,0.0342,10216,0.2942
BIO_2025_0503,78797,7645,0.097,18006,0.2285
BIO_2025_0505,180678,30344,0.1679,49558,0.2743
BIO_2025_0545,162945,10602,0.0651,51317,0.3149
BIO_2025_0546,69051,23653,0.3425,19520,0.2827
BIO_2025_0549,75493,5782,0.0766,23508,0.3114
BIO_2025_0550,185262,44369,0.2395,71509,0.386
BIO_2025_0552,73668,23549,0.3197,19641,0.2666
BIO_2025_0553,210969,53086,0.2516,172907,0.8196
BIO_2025_0554,72777,5748,0.079,10461,0.1437
BIO_2025_0555,42712,958,0.0224,8729,0.2044
BIO_2025_0556,112796,9420,0.0835,39032,0.346
BIO_2025_0557,152431,52053,0.3415,50759,0.333
BIO_2025_0558,118666,6499,0.0548,54559,0.4598
BIO_2025_0559,146366,29101,0.1988,51152,0.3495
BIO_2025_0561,110325,58713,0.5322,48858,0.4429
BIO_2025_0562,146049,2505,0.0172,48710,0.3335
BIO_2025_0568,112399,27939,0.2486,38975,0.3468
BIO_2025_0572,119802,28477,0.2377,49268,0.4112
BIO_2025_0573,138178,38623,0.2795,71280,0.5159
BIO_2025_0575,156028,12673,0.0812,69680,0.4466
BIO_2025_0578,145700,40328,0.2768,35775,0.2455
BIO_2025_0579,108877,25051,0.2301,30646,0.2815
BIO_2025_0580,187386,5751,0.0307,111956,0.5975
BIO_2025_0582,162745,7923,0.0487,138027,0.8481
BIO_2025_0583,35667,8747,0.2452,8970,0.2515
BIO_2025_0584,142993,47552,0.3325,61609,0.4309
BIO_2025_0586,1226645,47585,0.0388,41939,0.0342
BIO_2025_0587,91243,21070,0.2309,22263,0.244
BIO_2025_0588,83416,10233,0.1227,24933,0.2989
BIO_2025_0591,95022,2317,0.0244,29736,0.3129
BIO_2025_0592,89635,0,0,60803,0.6783
BIO_2025_0594,453626,127386,0.2808,319422,0.7042
BIO_2026_0527,71883,559,0.0078,14542,0.2023
BIO_2026_0574,109151,13020,0.1193,26725,0.2448
BIO_2026_0581,41376,3217,0.0778,3319,0.0802
BIO_2026_0590,120144,29662,0.2469,35684,0.297
BIO_2026_0595,190448,15925,0.0836,59329,0.3115
BIO_2026_0597,133760,94930,0.7097,78715,0.5885
BIO_2026_0598,69877,7766,0.1111,55039,0.7877
BIO_2026_0599,180868,60019,0.3318,52664,0.2912
BIO_2026_0600,194261,43092,0.2218,74624,0.3841
BIO_2026_0602,185376,69281,0.3737,98483,0.5313
BIO_2026_0604,107912,5176,0.048,32567,0.3018
BIO_2026_0606,222073,100770,0.4538,108738,0.4896
BIO_2026_0607,231396,43602,0.1884,98277,0.4247
BIO_2026_0608,54263,22409,0.413,22804,0.4202
BIO_2026_0609,223841,24892,0.1112,172926,0.7725
BIO_2026_0610,159429,68478,0.4295,57853,0.3629
BIO_2026_0611,149846,49726,0.3318,44677,0.2982
BIO_2026_0612,135957,27586,0.2029,41772,0.3072
BIO_2026_0613,136207,34944,0.2566,61668,0.4528
BIO_2026_0614,132997,314,0.0024,49019,0.3686
BIO_2026_0615,120144,29662,0.2469,35684,0.297
BIO_2026_0619,190417,30043,0.1578,146672,0.7703
JASA_2023_0621,150465,23432,0.1557,25928,0.1723
JASA_2023_0622,156130,15479,0.0991,52421,0.3358
JASA_2023_0624,130163,31784,0.2442,39313,0.302
JASA_2023_0626,274269,63269,0.2307,103313,0.3767
